-100.0000 ,-1.2386 ,0.0000 ,0.0000 
-90.0000 ,-1.2386 ,0.0000 ,0.0000 
-80.0000 ,-1.2386 ,0.0000 ,0.0000 
-70.0000 ,-1.2386 ,0.0000 ,0.0000 
-60.0000 ,-1.2386 ,0.0000 ,0.0000 
-50.0000 ,-1.2386 ,0.0000 ,0.0000 
-40.0000 ,-1.2386 ,0.0000 ,0.0000 
-30.0000 ,-1.2386 ,0.0000 ,0.0000 
-20.0000 ,-1.2386 ,0.0000 ,0.0000 
-14.9800 ,-1.2384 ,0.0001 ,0.0001 
-13.3650 ,-1.2381 ,0.0003 ,0.0002 
-11.7510 ,-1.2374 ,0.0007 ,0.0004 
-10.1360 ,-1.2355 ,0.0019 ,0.0012 
-8.5210 ,-1.2302 ,0.0052 ,0.0032 
-7.7140 ,-1.2248 ,0.0085 ,0.0052 
-6.9060 ,-1.2160 ,0.0139 ,0.0085 
-6.0990 ,-1.2014 ,0.0228 ,0.0139 
-5.2910 ,-1.1776 ,0.0372 ,0.0225 
-4.4840 ,-1.1389 ,0.0605 ,0.0359 
-4.1610 ,-1.1174 ,0.0732 ,0.0431 
-3.8380 ,-1.0914 ,0.0885 ,0.0516 
-3.5150 ,-1.0600 ,0.1067 ,0.0613 
-3.1920 ,-1.0221 ,0.1282 ,0.0726 
-2.8690 ,-0.9767 ,0.1537 ,0.0853 
-2.5460 ,-0.9224 ,0.1835 ,0.0994 
-2.2230 ,-0.8577 ,0.2180 ,0.1148 
-1.9000 ,-0.7810 ,0.2577 ,0.1311 
-1.5770 ,-0.6906 ,0.3028 ,0.1476 
-1.2540 ,-0.5849 ,0.3531 ,0.1637 
-0.9320 ,-0.4621 ,0.4083 ,0.1782 
-0.6090 ,-0.3207 ,0.4678 ,0.1898 
-0.2860 ,-0.1596 ,0.5305 ,0.1974 
0.0000 ,0.0000 ,0.5873 ,0.1996 
0.3600 ,0.2246 ,0.6588 ,0.1958 
0.6830 ,0.4474 ,0.7205 ,0.1855 
1.0060 ,0.6895 ,0.7779 ,0.1693 
1.3290 ,0.9492 ,0.8293 ,0.1483 
1.6520 ,1.2244 ,0.8734 ,0.1245 
1.9750 ,1.5124 ,0.9096 ,0.0998 
2.2980 ,1.8111 ,0.9380 ,0.0763 
2.6210 ,2.1176 ,0.9592 ,0.0556 
2.9440 ,2.4300 ,0.9743 ,0.0385 
3.2670 ,2.7464 ,0.9845 ,0.0253 
3.5900 ,3.0655 ,0.9911 ,0.0159 
3.9130 ,3.3863 ,0.9951 ,0.0094 
4.2360 ,3.7081 ,0.9974 ,0.0053 
4.5590 ,4.0304 ,0.9987 ,0.0028 
4.8820 ,4.3531 ,0.9994 ,0.0014 
5.2050 ,4.6759 ,0.9997 ,0.0007 
5.5280 ,4.9988 ,0.9999 ,0.0003 
5.8510 ,5.3217 ,0.9999 ,0.0001 
6.1740 ,5.6447 ,1.0000 ,0.0001 
6.4970 ,5.9676 ,1.0000 ,0.0000 
7.0000 ,6.4711 ,1.0000 ,0.0000 
8.0000 ,7.4711 ,1.0000 ,0.0000 
9.0000 ,8.4711 ,1.0000 ,0.0000 
10.0000 ,9.4711 ,1.0000 ,0.0000 
20.0000 ,19.4711 ,1.0000 ,0.0000 
30.0000 ,29.4711 ,1.0000 ,0.0000 
40.0000 ,39.4711 ,1.0000 ,0.0000 
50.0000 ,49.4711 ,1.0000 ,0.0000 
60.0000 ,59.4711 ,1.0000 ,0.0000 
70.0000 ,69.4711 ,1.0000 ,0.0000 
80.0000 ,79.4711 ,1.0000 ,0.0000 
90.0000 ,89.4711 ,1.0000 ,0.0000 
100.0000 ,99.4711 ,1.0000 ,0.0000 
